date,risk_parity,equal_weight
2022-06-22,87739.89779908408,87241.35927688537
2022-06-23,88365.09850579618,87553.78135228303
2022-06-24,90259.15832268407,89743.63257003034
2022-06-27,90125.44352154389,89560.5589943854
2022-06-28,88642.77114664095,88008.04092674147
2022-06-29,88344.86991235912,87521.44239829991
2022-06-30,87410.17298463162,86251.10004452718
2022-07-01,88299.02850496804,86911.76026932731
2022-07-05,88018.02704229813,86809.44005692011
2022-07-06,88128.07786469889,86927.35274691918
2022-07-07,89648.14770705193,88739.35748859379
2022-07-08,89486.13125500942,88617.84542611304
2022-07-11,88720.57560973892,87609.56659121864
2022-07-12,87868.85479853781,86764.86130389808
2022-07-13,87591.10028326321,86563.62882912277
2022-07-14,87028.20433122426,86130.79734622895
2022-07-15,89185.58541220905,88212.8356225073
2022-07-18,88481.60401294983,87828.67496333146
2022-07-19,90020.32091448008,89773.11743104596
2022-07-20,90301.00568950694,90448.10709358988
2022-07-21,90696.65180928305,90847.7773956734
2022-07-22,90290.42770015798,90122.78094821188
2022-07-25,90587.24077926204,90401.425742373
2022-07-26,89705.80234422995,89326.82520220529
2022-07-27,91830.11365244111,91982.94499011715
2022-07-28,92492.0269262282,92734.01849286526
2022-07-29,92793.17607052409,93478.83554296003
2022-08-01,92587.28510194337,93320.55104001964
2022-08-02,91789.57404888402,92523.90396889772
2022-08-03,93080.99368397187,93824.15778214988
2022-08-04,92221.18901166132,93137.52791793566
2022-08-05,92626.2633367367,93613.2099229423
2022-08-08,91802.63916731681,92479.00711383452
2022-08-09,91972.55360534757,92542.10227173447
2022-08-10,93757.16502259645,94757.13098916129
2022-08-11,93568.93262890351,94870.49979965105
2022-08-12,94488.59140575211,96246.43115236172
2022-08-15,94843.83556137809,96608.0718504961
2022-08-16,95200.9700604876,96820.3359971744
2022-08-17,94948.62054628064,96385.61120565873
2022-08-18,95063.14704637176,96731.29646081122
2022-08-19,94258.48135056435,95362.71110965303
2022-08-22,92721.6702837273,93579.87879588208
2022-08-23,92487.01779036317,93551.13980393478
2022-08-24,92489.15621370262,93618.44565245417
2022-08-25,93730.09909361963,95040.99028203753
2022-08-26,90838.86009285698,91646.70624089202
2022-08-29,90317.20813388513,91099.03611816467
2022-08-30,89435.99138044211,90059.02731033479
2022-08-31,88525.14313624756,89037.8959197362
2022-09-01,88659.70226850167,88434.41502457713
2022-09-02,87771.55040421674,87611.65428467888
2022-09-06,87187.15847425054,86971.25780975544
2022-09-07,88179.69487996763,87985.70076760082
2022-09-08,88949.79056440399,88922.4545054768
2022-09-09,90125.27438426476,90226.16845485462
2022-09-12,91156.5282641025,91303.16255636844
2022-09-13,87679.00120195486,87317.62238209268
2022-09-14,88314.66316120642,87881.60455905336
